symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-02T10:22:44.140756,20,0.1141,slightly_bullish,-0.1148,0.8359,mixed_signals,8,0,12
MSFT,2025-12-02T10:22:44.153521,20,0.1141,slightly_bullish,0.0745,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-02T10:22:44.164446,20,0.1141,slightly_bullish,0.0875,0.8359,positive_momentum,8,0,12
AMZN,2025-12-02T10:22:44.174958,20,0.1141,slightly_bullish,-0.0875,0.8359,mixed_signals,8,0,12
META,2025-12-02T10:22:44.185602,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
NVDA,2025-12-02T10:22:44.196391,20,0.1141,slightly_bullish,0.0742,0.8359,positive_momentum,8,0,12
TSLA,2025-12-02T10:22:44.207294,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
JPM,2025-12-02T10:22:44.218194,20,0.1141,slightly_bullish,0.0893,0.8359,positive_momentum,8,0,12
V,2025-12-02T10:22:44.229668,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
JNJ,2025-12-02T10:22:44.240497,20,0.1141,slightly_bullish,-0.0084,0.8359,mixed_signals,8,0,12
